id;Name;Gender;Produit;Type;Prix;Date
602;Jessica Brown;Female;Gel coiffant effet brillant Schwarzkopf;Produits de coiffure;1500;2022-07-06 00:52:00.0000000
603;Jessica Davis;Female;Sachet de sel iodé;Condiment;500;2022-06-21 01:40:00.0000000
604;Zachary Hall;Male;Saucisson de Lyon;Charcuterie;1400;2022-06-05 01:27:00.0000000
605;Jumaane Diop;Male;Dentifrice blancheur Oral-B;Produits d'hygiène dentaire;500;2022-12-29 11:32:00.0000000
606;Wendy Carter;Female;Jambon de Bayonne;Charcuterie;1900;2022-12-14 03:03:00.0000000
607;Idris Bello;Male;Rillettes de saumon;Charcuterie;1500;2022-07-15 03:52:00.0000000
608;Peyton Perez;Female;Saucisson à la truffe;Charcuterie;1400;2022-10-28 16:18:00.0000000
609;Dorothy Adams;Female;Crème solaire enfants Uriage;Produits de protection solaire;2000;2022-11-04 18:18:00.0000000
610;Mary Taylor;Female;Shampooing réparateur L'Oréal;Produits de soin capillaire;1500;2022-12-22 03:40:00.0000000
611;Binta Sow;Female;Démaquillant yeux bi-phasé waterproof L'Oréal;Produits de démaquillage;1200;2022-10-30 09:15:00.0000000
612;Timothy Bennett;Male;Soin anti-fatigue pour le visage Nivea;Produits de soin pour le visage;2500;2022-06-29 00:02:00.0000000
613;Jelani Jalloh;Male;Bouteille de vinaigre blanc;Condiment;750;2022-03-05 22:48:00.0000000
614;Kwabena Osei;Male;Shampooing anti-pelliculaire Head & Shoulders;Produits de soin capillaire;1500;2022-11-24 22:30:00.0000000
615;Peter Hill;Male;Saucisse de Strasbourg;Charcuterie;1600;2022-06-03 13:49:00.0000000
616;Saidou Bah;Male;Sac de riz Basmati;Alimentation;4000;2022-04-17 18:11:00.0000000
617;Sibongile Zulu;Female;Pâté de perdreau;Charcuterie;1800;2022-11-08 05:49:00.0000000
618;Natalie Flores;Female;Soin anti-fatigue pour le visage Nivea;Produits de soin pour le visage;2500;2022-05-19 13:18:00.0000000
619;Aminata Touré;Female;Lotion tonique adoucissante Garnier;Produits de soin pour le visage;1200;2022-12-20 04:04:00.0000000
620;Tiffany Hill;Female;Terrine de marcassin;Charcuterie;1700;2022-04-04 12:44:00.0000000
621;Lamidi Adekunle;Male;Sac de croquettes pour chien Pedigree;Animaux;2000;2022-03-30 19:54:00.0000000
622;Timothy Martinez;Male;Saucisse de canard;Charcuterie;1600;2022-02-16 14:39:00.0000000
623;Yaa Mohammed;Female;Jambon du Bourbonnais;Charcuterie;2000;2022-08-15 02:32:00.0000000
624;Sanaa Oumar;Female;Saucisson de Lyon;Charcuterie;1400;2022-01-24 11:11:00.0000000
625;Amaechi Okafor;Female;Boîte de mouchoirs en papier Lotus;Hygiène;1000;2022-02-03 13:06:00.0000000
626;Betty King;Female;Saucisse de foie;Charcuterie;1800;2022-04-18 07:53:00.0000000
627;Amaechi Okafor;Female;Rillettes de canard;Charcuterie;1400;2022-07-27 19:33:00.0000000
628;Sekou Diop;Male;Dentifrice Signal;Produits d'hygiène dentaire;500;2022-11-23 00:29:00.0000000
629;Camila Washington;Female;Saucisse de dinde;Charcuterie;1600;2022-08-19 09:06:00.0000000
630;Kwesi Anang;Male;Paquet de chips Pringles;Snack;1000;2022-07-08 12:21:00.0000000
631;Patricia Lopez;Female;Jambon de Parme;Charcuterie;2000;2022-01-06 08:15:00.0000000
632;Russell Gonzalez;Male;Coppa;Charcuterie;1600;2022-11-11 05:05:00.0000000
633;Mohammed Maalouf;Male;Rillettes de thon à l'huile d'olive;Charcuterie;1500;2022-12-27 03:01:00.0000000
634;Wayne Carter;Male;Rillettes de lapin;Charcuterie;1300;2022-07-20 05:11:00.0000000
635;Cynthia Murphy;Female;Shampooing hydratant Timotei;Produits de soin capillaire;1500;2022-09-26 11:51:00.0000000
636;Nicholas Powell;Male;Paquet de spaghetti;Alimentation;750;2022-07-01 18:48:00.0000000
637;Sadia Traoré;Female;Pâté de chevreuil;Charcuterie;1800;2022-07-05 20:31:00.0000000
638;Diane Coleman;Female;Dentifrice blancheur intense Colgate;Produits d'hygiène dentaire;500;2022-06-01 08:48:00.0000000
639;Jesse Murphy;Male;Sachet de poivre noir;Condiment;500;2022-05-27 09:20:00.0000000
640;Andrew Hernandez;Male;Saucisse fumée;Charcuterie;1400;2022-12-08 05:33:00.0000000
641;Anna Hall;Female;Saucisson à l'anis;Charcuterie;1400;2022-07-27 01:00:00.0000000
642;Tunde Adeleke;Male;Baume à cuticules Sally Hansen;Produits de soin pour les ongles;1000;2022-05-19 18:40:00.0000000
643;Babatunde Balogun;Male;Bouteille de bière Guinness;Bière;1000;2022-06-09 14:36:00.0000000
644;Amaechi Okafor;Female;Saucisson à l'Armagnac;Charcuterie;1400;2022-03-10 07:47:00.0000000
645;Osei Bonsu;Male;Saucisse de Toulouse;Charcuterie;1600;2022-06-11 06:17:00.0000000
646;Kwadwo Mensah;Male;Baume à cuticules Sally Hansen;Produits de soin pour les ongles;1000;2022-06-26 09:47:00.0000000
647;Amaechi Okafor;Female;Terrine de faisan;Charcuterie;1700;2022-11-12 01:57:00.0000000
648;Adama Ba;Female;Paquet de biscuits Petit Beurre;Biscuits;1000;2022-08-23 06:47:00.0000000
649;Kwame Asante;Male;Jambon de la Forêt de Marly;Charcuterie;2000;2022-07-29 01:01:00.0000000
650;Steven James;Male;Lotion anti-rougeurs pour le visage Avène;Produits de soin pour le visage;1200;2022-12-23 07:29:00.0000000
651;Tunde Adeleke;Male;Crème réparatrice pour les pieds Scholl;Produits de soin pour les pieds;1500;2022-01-29 09:16:00.0000000
652;Amara Sankoh;Male;Démaquillant pour les yeux Nivea;Produits de démaquillage;1200;2022-09-09 11:57:00.0000000
653;Angela Lopez;Female;Lingettes démaquillantes Nivea;Produits de démaquillage;800;2022-12-17 03:18:00.0000000
654;Fanta Diallo;Female;Crème réparatrice pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-03-29 11:37:00.0000000
655;Ashley Johnson;Female;Terrine de chevreuil;Charcuterie;1700;2022-03-04 10:10:00.0000000
656;Ngozi Onyeama;Female;Pâté de lapin aux noisettes;Charcuterie;1800;2022-01-24 01:33:00.0000000
657;Victoria Morris;Female;Jambon fumé;Charcuterie;1400;2022-10-15 12:02:00.0000000
658;Theresa Sanders;Female;Jambon d'Auvergne;Charcuterie;2000;2022-06-13 07:55:00.0000000
659;Aisha Ibrahim;Female;Saucisse de Montbéliard;Charcuterie;1900;2022-11-28 05:07:00.0000000
660;Oumar Camara;Male;Terrine de lapin;Charcuterie;1600;2022-09-14 05:35:00.0000000
661;Samantha Barnes;Female;Rillettes de truite;Charcuterie;1500;2022-01-09 15:03:00.0000000
662;Wanda Parker;Female;Boudin noir;Charcuterie;1500;2022-12-29 21:52:00.0000000
663;Sekou Diop;Male;Terrine de biche;Charcuterie;1700;2022-04-13 01:46:00.0000000
664;Harper King;Female;Rillettes d'oie;Charcuterie;1500;2022-06-01 09:53:00.0000000
665;Jabari Nkrumah;Male;Crème réparatrice pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-12-19 21:04:00.0000000
666;Fatima Nkrumah;Female;Paquet de cacahuètes;Snack;750;2022-11-02 23:40:00.0000000
667;Philip Nelson;Male;Sachet de thé Lipton;Thé;500;2022-06-08 20:53:00.0000000
668;Musa Abubakar;Male;Gel nettoyant visage doux Nivea;Produits de soin pour le visage;1800;2022-12-08 21:54:00.0000000
669;Adama Ba;Female;Pâté de lapin aux noisettes;Charcuterie;1800;2022-01-09 03:33:00.0000000
670;Fatimah Ibrahim;Female;Paquet de spaghetti;Alimentation;750;2022-11-30 16:03:00.0000000
671;Daniel Jones;Male;Paquet de lentilles;Alimentation;750;2022-04-12 11:42:00.0000000
672;Ngozi Onyeama;Female;Boîte de mouchoirs en papier Lotus;Hygiène;1000;2022-12-29 21:34:00.0000000
673;Adjoa Boateng;Female;Dentifrice bio Logodent;Produits d'hygiène dentaire;500;2022-01-13 14:10:00.0000000
674;Maria Martinez;Female;Bouteille de sirop de grenadine;Boisson;750;2022-08-08 00:53:00.0000000
675;Kwaku Boateng;Male;Gel nettoyant visage purifiant L'Oréal;Produits de soin pour le visage;1800;2022-10-18 11:58:00.0000000
676;Chinedu Okoro;Male;Rosette;Charcuterie;1800;2022-12-17 11:37:00.0000000
677;Simba Moyo;Male;Soin liftant contour des yeux L'Oréal;Produits de soin pour le visage;2500;2022-12-26 06:40:00.0000000
678;Frances Coleman;Female;Sachet de sucre vanillé;Sucrerie;500;2022-11-26 21:16:00.0000000
679;Sibongile Zulu;Female;Rillettes de thon au piment d'Espelette;Charcuterie;1500;2022-09-16 17:35:00.0000000
680;Fatimah Ibrahim;Female;Déodorant bille fraîcheur Nivea;Produits d'hygiène;800;2022-03-19 13:58:00.0000000
681;Adjoa Boateng;Female;Boîte de kleenex;Hygiène;1000;2022-07-25 05:36:00.0000000
682;Kwesi Bonsu;Male;Jambon des Ardennes;Charcuterie;2000;2022-04-02 01:06:00.0000000
683;Edward Nelson;Male;Gel nettoyant visage doux Nivea;Produits de soin pour le visage;1800;2022-01-19 17:58:00.0000000
684;Kwaku Amponsah;Female;Boîte de mouchoirs en papier Tempo;Hygiène;750;2022-10-20 11:03:00.0000000
685;Joseph Richardson;Male;Saucisson de Lyon;Charcuterie;1400;2022-03-22 20:40:00.0000000
686;Justin Reed;Male;Terrine de sanglier;Charcuterie;1700;2022-10-07 23:47:00.0000000
687;Carter Richardson;Male;Crème réparatrice pour les pieds Scholl;Produits de soin pour les pieds;1500;2022-07-01 05:22:00.0000000
688;Carolyn Cooper;Female;Déodorant spray sans gaz propulseur Nivea;Produits d'hygiène;800;2022-03-17 06:06:00.0000000
689;Roy Collins;Male;Terrine de chevreuil;Charcuterie;1700;2022-10-10 23:31:00.0000000
690;Jabari Nkrumah;Male;Pâté de perdreau;Charcuterie;1800;2022-02-01 15:57:00.0000000
691;Jesse Murphy;Male;Shampooing anti-pelliculaire Head & Shoulders;Produits de soin capillaire;1500;2022-04-28 08:35:00.0000000
692;Sekou Diop;Male;Déodorant bille fraîcheur Nivea;Produits d'hygiène;800;2022-08-01 07:00:00.0000000
693;Billy Coleman;Male;Lingettes rafraîchissantes pour le visage Nivea;Produits de démaquillage;800;2022-02-12 17:14:00.0000000
694;Stephanie Turner;Female;Bouteille de Jack Daniel;Liqueur;5000;2022-07-24 14:52:00.0000000
695;Mohammed Maalouf;Male;Bouteille d'eau minérale Cristaline;Eau;500;2022-10-03 15:44:00.0000000
696;Tariq Ndlovu;Male;Terrine de faisan;Charcuterie;1700;2022-04-13 23:24:00.0000000
697;Victoria Morris;Female;Pot de pâte à tartiner Nutella;Sucrerie;2000;2022-01-23 05:10:00.0000000
698;Charlotte Gonzalez;Female;Paquet de riz long grain;Alimentation;1000;2022-01-28 10:54:00.0000000
699;Bintou Traoré;Female;Rillettes de saumon;Charcuterie;1500;2022-02-08 10:10:00.0000000
700;Mason Taylor;Male;Gel douche exfoliant au sel marin Neutrogena;Produits de douche;1200;2022-02-12 12:52:00.0000000
701;Harper King;Female;Sachet de riz Mama Africa;Alimentation;2000;2022-01-19 02:47:00.0000000
702;Fatima Keita;Female;Saucisson à la truffe;Charcuterie;1400;2022-03-26 04:39:00.0000000
703;Aminata Cissé;Female;Crème hydratante Nivea;Produits de soin pour le corps;1000;2022-10-25 18:27:00.0000000
704;Margaret Scott;Female;Rillettes de thon au citron;Charcuterie;1500;2022-12-28 23:54:00.0000000
705;Musa Abubakar;Male;Crème solaire peaux sensibles Avène;Produits de protection solaire;2000;2022-07-09 05:20:00.0000000
706;Jumaane Diop;Male;Crème réparatrice pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-07-09 18:08:00.0000000
707;Cameron Cox;Male;Pâté de foie;Charcuterie;1100;2022-09-21 20:55:00.0000000
708;Osei Bonsu;Male;Pâté de lièvre;Charcuterie;1800;2022-09-13 13:04:00.0000000
709;Musa Abubakar;Male;Paquet de chips Tortilla;Snack;1000;2022-05-28 07:10:00.0000000
710;Idris Bello;Male;Lotion pour le corps Dove;Produits de soin pour le corps;1200;2022-04-21 12:05:00.0000000
711;Jason Torres;Male;Terrine de lapin;Charcuterie;1600;2022-07-28 20:03:00.0000000
712;Kwesi Anang;Male;Sachet de sel iodé;Condiment;500;2022-04-21 16:30:00.0000000
713;Ngozi Nwadike;Female;Baume hydratant pour les mains Mixa;Produits de soin pour les mains;1000;2022-04-11 06:28:00.0000000
714;Janet Bryant;Female;Baume après-rasage hydratant Nivea;Produits de rasage;700;2022-10-15 05:38:00.0000000
715;Wanda Parker;Female;Déodorant sans aluminium Nivea;Produits d'hygiène;800;2022-03-11 11:51:00.0000000
716;Fanta Camara;Female;Shampooing anti-chute Vichy;Produits de soin capillaire;1800;2022-08-04 08:56:00.0000000
717;Faith Coleman;Female;Saucisse de porc;Charcuterie;1600;2022-04-15 03:46:00.0000000
718;Fanta Camara;Female;Rillettes de canard au poivre vert;Charcuterie;1500;2022-12-23 05:24:00.0000000
719;Fanta Diallo;Female;Dentifrice bio blanchissant Lavera;Produits d'hygiène dentaire;500;2022-04-15 06:26:00.0000000
720;Alex Johnson;Male;Lingettes démaquillantes réutilisables Garnier;Produits de démaquillage;800;2022-09-22 02:43:00.0000000
721;Allison Ross;Female;Sac de riz Basmati;Alimentation;4000;2022-01-30 14:23:00.0000000
722;Nabila Bah;Female;Paquet de lentilles;Alimentation;750;2022-03-13 18:58:00.0000000
723;Obinna Chukwu;Male;Gel nettoyant visage La Roche-Posay;Produits de soin pour le visage;1800;2022-08-11 05:52:00.0000000
724;Stella Reed;Female;Saucisse sèche;Charcuterie;1700;2022-04-18 22:27:00.0000000
725;Sophia Davis;Female;Déodorant Rexona;Produits d'hygiène;800;2022-03-25 17:27:00.0000000
726;Vincent Lopez;Male;Démaquillant bi-phasé waterproof Nivea;Produits de démaquillage;1200;2022-03-11 06:27:00.0000000
727;Fatimah Mohammed;Female;Pot de pâte à tartiner Nutella;Sucrerie;2000;2022-02-11 06:44:00.0000000
728;Aminata Bello;Female;Jambon des Ardennes;Charcuterie;2000;2022-09-25 19:06:00.0000000
729;Alexis Scott;Female;Lotion hydratante pour le visage Nivea;Produits de soin pour le visage;1200;2022-09-16 05:04:00.0000000
730;Jessica Brown;Female;Rillettes d'oie;Charcuterie;1500;2022-09-08 18:49:00.0000000
731;Nkosi Dlamini;Male;Lingettes démaquillantes apaisantes Nivea;Produits de démaquillage;800;2022-12-01 09:31:00.0000000
732;Angela Lopez;Female;Crème raffermissante pour le corps Garnier;Produits de soin pour le corps;2000;2022-07-06 04:56:00.0000000
733;Marie Kelly;Female;Sac de pommes de terre;Légumes;1000;2022-06-07 01:19:00.0000000
734;Heather Martinez;Female;Saucisson à la figue;Charcuterie;1600;2022-04-26 05:54:00.0000000
735;Daniel Lewis;Male;Sac de croquettes pour chien Pedigree;Animaux;2000;2022-01-28 14:25:00.0000000
736;Nadia Kamara;Female;Jambon de Bayonne;Charcuterie;1900;2022-07-16 03:26:00.0000000
737;Barbara Thomas;Female;Shampooing volumisant Schwarzkopf;Produits de soin capillaire;1800;2023-06-09 08:10:00.0000000
738;Grayson Perez;Male;Jambon des Ardennes;Charcuterie;2000;2023-10-14 21:21:00.0000000
739;Harper King;Female;Saucisse de veau;Charcuterie;1600;2023-06-26 14:59:00.0000000
740;Nadia Diallo;Female;Gel nettoyant visage purifiant Neutrogena;Produits de soin pour le visage;1800;2023-11-05 10:08:00.0000000
741;Yaa Mohammed;Female;Dentifrice Signal;Produits d'hygiène dentaire;500;2023-11-21 04:14:00.0000000
742;Kwesi Anang;Male;Saucisse de Strasbourg;Charcuterie;1600;2023-11-16 00:06:00.0000000
743;Ryan Cox;Male;Soin hydratant matifiant Vichy;Produits de soin pour le visage;2500;2023-07-25 16:50:00.0000000
744;Emeka Nnamdi;Male;Sachet de chips au fromage;Snack;1000;2023-10-28 16:23:00.0000000
745;Yaa Mohammed;Female;Jambon de Paris;Charcuterie;1400;2023-05-23 14:59:00.0000000
746;Bintou Traoré;Female;Démaquillant yeux bi-phasé waterproof L'Oréal;Produits de démaquillage;1200;2023-11-06 12:06:00.0000000
747;Sara Henderson;Female;Gel douche Nivea;Produits de douche;1200;2023-12-19 14:25:00.0000000
748;Oumar Camara;Male;Sachet de popcorn;Snack;500;2023-12-20 08:18:00.0000000
749;Bintou Traoré;Female;Terrine de pintade;Charcuterie;1600;2023-05-23 19:21:00.0000000
750;Julia Garcia;Male;Pot de confiture de fraises;Condiment;1000;2023-05-29 13:50:00.0000000
751;Hunter Allen;Male;Bouteille de jus de pomme;Jus;1500;2023-08-15 15:44:00.0000000
752;Sarah Taylor;Female;Gel coiffant effet mouillé Schwarzkopf;Produits de coiffure;1500;2023-07-05 23:13:00.0000000
753;Fatoumata Diagne;Female;Shampooing volumateur Timotei;Produits de soin capillaire;1500;2023-06-30 17:53:00.0000000
754;Yaa Asante;Female;Boîte de thé matcha;Thé;1500;2023-03-04 23:28:00.0000000
755;Alyssa Morris;Female;Dentifrice bio blanchissant Lavera;Produits d'hygiène dentaire;500;2023-12-03 13:52:00.0000000
756;Frank Morris;Male;Crème pour les pieds à l'urée Scholl;Produits de soin pour les pieds;1500;2023-11-11 08:09:00.0000000
757;Jennifer Martinez;Female;Sac de pommes de terre;Légumes;1000;2023-06-21 20:00:00.0000000
758;Amelia Lopez;Female;Gel douche relaxant L'Occitane;Produits de douche;1200;2023-07-16 06:42:00.0000000
759;Emeka Diop;Male;Sachet de mélange d'épices pour tajine;Condiment;750;2023-07-30 23:29:00.0000000
760;Omaru Sise;Male;Rillettes de poisson;Charcuterie;1300;2023-05-21 22:04:00.0000000
761;Fanta Bah;Female;Bouteille d'eau minérale Cristaline;Eau;500;2023-03-05 00:20:00.0000000
762;Willard Patterson;Male;Pâté de faisan;Charcuterie;1800;2023-12-11 17:45:00.0000000
763;Mary Taylor;Female;Jambon de la Vallée d'Aoste;Charcuterie;2000;2023-04-29 16:39:00.0000000
764;Mila King;Female;Sachet de feuilles de thé;Thé;500;2023-06-10 12:38:00.0000000
765;Yaa Asante;Female;Sachet de grains de café arabica;Café;1000;2023-01-08 00:28:00.0000000
766;Emeka Diop;Male;Paquet de pâtes Barilla;Alimentation;1000;2023-03-03 03:13:00.0000000
767;Emily Howard;Female;Crème pour les pieds Scholl;Produits de soin pour les pieds;1500;2023-09-24 07:56:00.0000000
768;Yaa Asante;Female;Sachet de grains de café arabica;Café;1000;2023-12-04 10:03:00.0000000
769;Daniel Jones;Male;Poulet entier fermier;Viande;3000;2023-05-27 10:59:00.0000000
770;Nabila Bah;Female;Lotion apaisante après-rasage Nivea;Produits de rasage;700;2023-06-27 05:55:00.0000000
771;Justin Adams;Male;Crème solaire peaux sensibles Avène;Produits de protection solaire;2000;2023-07-17 23:23:00.0000000
772;Scarlett Price;Female;Gel douche hydratant Dove;Produits de douche;1200;2023-05-29 04:26:00.0000000
773;Oumar Camara;Male;Saucisse de Strasbourg;Charcuterie;1700;2023-10-10 05:44:00.0000000
774;Joan Morris;Female;Saucisson sec;Charcuterie;1500;2023-01-16 00:56:00.0000000
775;Fatima Keita;Female;Terrine de faisan;Charcuterie;1700;2023-11-04 02:32:00.0000000
776;Kevin Rivera;Male;Crème raffermissante pour le corps Garnier;Produits de soin pour le corps;2000;2023-05-17 02:57:00.0000000
777;Carter Richardson;Male;Crème réparatrice pour les mains Neutrogena;Produits de soin pour les mains;1000;2023-02-10 09:20:00.0000000
778;Aisha Abubakar;Female;Crème réparatrice pour les pieds Scholl;Produits de soin pour les pieds;1500;2023-08-18 15:42:00.0000000
779;Hudson Wilson;Male;Bouteille de jus d'orange Jafpp;Jus;1500;2023-08-18 20:26:00.0000000
780;Chinwe Okonkwo;Male;Pain de savon Lux;Hygiène;500;2023-06-18 05:01:00.0000000
781;Emeka Nnamdi;Male;Sac de farine de blé;Alimentation;1500;2023-11-23 15:15:00.0000000
782;Amelia Lopez;Female;Shampooing fortifiant L'Oréal;Produits de soin capillaire;1800;2023-06-10 16:20:00.0000000
783;Vanessa Foster;Female;Sachet de thé Lipton;Thé;500;2023-11-11 14:05:00.0000000
784;Femi Adekunle;Male;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2023-09-27 03:26:00.0000000
785;Kwesi Bonsu;Male;Barre de chocolat Milka;Chocolat;750;2023-06-13 20:42:00.0000000
786;Bintou Traoré;Female;Paquet de chips Tortilla;Snack;1000;2023-12-17 23:33:00.0000000
787;Harold Simmons;Male;Rillettes de truite;Charcuterie;1500;2023-08-08 01:09:00.0000000
788;Charles Parker;Male;Andouille;Charcuterie;1600;2023-12-14 13:24:00.0000000
789;Adrian Green;Male;Lotion purifiante pour le visage L'Oréal;Produits de soin pour le visage;1200;2023-11-23 10:44:00.0000000
790;Noah Brown;Male;Bouteille de jus de pomme;Jus;1500;2023-04-27 07:07:00.0000000
791;Steven James;Male;Gel douche nourrissant à l'huile d'amande Neutrogena;Produits de douche;1200;2023-07-06 14:04:00.0000000
792;Adjoa Boateng;Female;Lingettes rafraîchissantes pour le visage Nivea;Produits de démaquillage;800;2023-01-28 05:13:00.0000000
793;Christina Roberts;Female;Déodorant roll-on sans alcool Nivea;Produits d'hygiène;800;2023-01-21 03:29:00.0000000
794;Aminata Bello;Female;Pot de pâte à tartiner Nutella;Sucrerie;2000;2023-01-15 06:24:00.0000000
795;Samuel Alexander;Male;Pot de moutarde;Condiment;500;2023-12-26 17:38:00.0000000
796;Jelani Jalloh;Male;Crème apaisante après-soleil Nivea;Produits de protection solaire;2000;2023-05-24 11:22:00.0000000
797;Fatima Nkrumah;Female;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2023-10-04 16:16:00.0000000
798;Anna Thompson;Female;Pâté de volaille;Charcuterie;1200;2023-07-05 10:52:00.0000000
799;Omaru Sise;Male;Masque purifiant à l'argile L'Oréal;Produits de soin pour le visage;1800;2023-10-09 13:26:00.0000000
800;Nneka Eze;Female;Bouteille de jus d'orange Jafpp;Jus;1500;2023-10-31 22:32:00.0000000
801;Jasmine Lopez;Female;Soin anti-âge global pour le visage L'Oréal;Produits de soin pour le visage;2500;2023-06-22 13:23:00.0000000
802;Emeka Nnamdi;Male;Rillettes de thon à l'huile d'olive;Charcuterie;1500;2023-01-15 20:52:00.0000000
803;Emily Johnson;Female;Pâté de lièvre;Charcuterie;1800;2023-11-26 02:23:00.0000000
804;Chiamaka Adewale;Female;Démaquillant pour les yeux Nivea;Produits de démaquillage;1200;2023-11-08 05:41:00.0000000
805;James Harris;Male;Sachet de lessive Skip;Hygiène;750;2023-03-14 15:15:00.0000000
806;Aaron King;Male;Terrine de sanglier;Charcuterie;1700;2023-08-29 06:06:00.0000000
807;Fanta Camara;Female;Bouteille de shampoing Head & Shoulders;Hygiène;1500;2023-05-31 10:38:00.0000000
808;Frances Coleman;Female;Terrine de biche;Charcuterie;1700;2023-12-23 02:32:00.0000000
809;Jimmy Perry;Male;Sachet de grains de café arabica;Café;1000;2023-08-07 04:10:00.0000000
810;Nneka Abubakar;Female;Pâté de chevreuil;Charcuterie;1800;2023-01-12 02:32:00.0000000
811;Juan Collins;Male;Jambon des Ardennes;Charcuterie;2000;2023-09-20 01:50:00.0000000
812;Bintou Traoré;Female;Lotion pour le corps Dove;Produits de soin pour le corps;1200;2023-10-04 10:25:00.0000000
813;Scarlett Price;Female;Pâté de foie;Charcuterie;1100;2023-11-17 18:33:00.0000000
814;Nadia Kamara;Female;Paquet de biscuits au chocolat;Biscuits;1000;2023-03-13 18:07:00.0000000
815;Sandra Baker;Female;Lingettes démaquillantes Nivea;Produits de démaquillage;800;2023-08-31 02:09:00.0000000
816;Christina Walker;Female;Boîte de kleenex;Hygiène;1000;2023-01-17 06:36:00.0000000
817;Phillip Reed;Male;Gel coiffant effet mat Axe;Produits de coiffure;1500;2023-08-26 06:08:00.0000000
818;Jumaane Diop;Male;Pâté de foie;Charcuterie;1100;2023-11-23 07:12:00.0000000
819;Chukwudi Eze;Male;Gel douche relaxant L'Occitane;Produits de douche;1200;2023-12-11 10:29:00.0000000
820;Julia Garcia;Male;Pot de miel;Condiment;1000;2023-12-19 09:34:00.0000000
821;Alex Johnson;Male;Sachet de popcorn;Snack;500;2023-09-22 01:01:00.0000000
822;Ngozi Onyeama;Female;Gel douche exfoliant Nivea;Produits de douche;1200;2023-07-03 10:50:00.0000000
823;Sanaa Oumar;Female;Shampooing anti-pelliculaire Vichy;Produits de soin capillaire;1500;2023-01-22 20:22:00.0000000
824;Akafo Jane;Female;Saucisson à la truffe;Charcuterie;1400;2023-01-04 01:27:00.0000000
825;Sanaa Oumar;Female;Jambon de la Dombes;Charcuterie;2000;2023-11-26 01:47:00.0000000
826;Kwame Asante;Male;Pot de confiture de fraises;Condiment;1000;2023-09-14 08:25:00.0000000
827;Chinelo Nwachukwu;Female;Saucisse au poivre;Charcuterie;1600;2023-07-07 19:25:00.0000000
828;Alex Johnson;Male;Jambon de Montagne Noire;Charcuterie;2000;2023-02-08 21:41:00.0000000
829;Jumaane Diop;Male;Gel coiffant effet brillant Schwarzkopf;Produits de coiffure;1500;2023-08-06 14:16:00.0000000
830;Laura Kelly;Female;Baume à lèvres Labello;Produits de soin des lèvres;700;2023-12-18 16:07:00.0000000
831;Sekou Toure;Male;Jambon d'Auvergne;Charcuterie;2000;2023-04-16 22:32:00.0000000
832;Fatimah Ibrahim;Female;Rillettes de dinde;Charcuterie;1300;2023-02-26 06:23:00.0000000
833;Anna Mitchell;Female;Sachet de lait en poudre Nido;Lait;1500;2023-05-16 21:42:00.0000000
834;Osei Mensah;Male;Sachet de sel iodé;Condiment;500;2023-02-15 06:46:00.0000000
835;Fatima Nkrumah;Female;Lotion tonique adoucissante Garnier;Produits de soin pour le visage;1200;2023-02-03 09:09:00.0000000
836;Luke Foster;Male;Déodorant roll-on sans alcool Nivea;Produits d'hygiène;800;2023-08-11 04:19:00.0000000
837;Sibongile Zulu;Female;Jambon du Bourbonnais;Charcuterie;2000;2023-07-23 08:57:00.0000000
838;Vanessa Foster;Female;Bouteille de shampoing Head & Shoulders;Hygiène;1500;2023-07-01 09:46:00.0000000
839;Kwadwo Mensah;Male;Shampooing volumisant Schwarzkopf;Produits de soin capillaire;1800;2023-02-27 08:13:00.0000000
840;Amina Azikiwe;Female;Lingettes démaquillantes apaisantes Nivea;Produits de démaquillage;800;2023-09-18 21:11:00.0000000
841;Adama Ba;Female;Sachet de levure chimique;Condiment;500;2023-01-05 16:21:00.0000000
842;Sanaa Oumar;Female;Crème anti-rides Nivea;Produits de soin pour le visage;2500;2023-10-18 14:17:00.0000000
843;John Enrick;Male;Saucisse de Strasbourg;Charcuterie;1700;2023-02-01 19:43:00.0000000
844;Fanta Diallo;Female;Saucisse de volaille;Charcuterie;1600;2023-01-29 13:57:00.0000000
845;Christopher Stewart;Male;Lotion anti-âge pour le visage L'Oréal;Produits de soin pour le visage;1200;2023-06-08 14:21:00.0000000
846;Obinna Chukwu;Male;Rillettes de lapin;Charcuterie;1300;2023-07-01 21:25:00.0000000
847;Liam Jones;Male;Pot de moutarde;Condiment;500;2023-06-07 15:27:00.0000000
848;Fatoumata Diop;Female;Bouteille de lait frais Lactel;Lait;1000;2023-10-19 18:49:00.0000000
849;Aria Cox;Female;Pâté de chevreuil;Charcuterie;1800;2023-06-04 01:50:00.0000000
850;Albert Bennett;Male;Crème pour les pieds à l'urée Scholl;Produits de soin pour les pieds;1500;2023-01-21 07:27:00.0000000
851;Amelia Lopez;Female;Jambon des Ardennes;Charcuterie;2000;2023-05-21 11:25:00.0000000
852;Barbara Thomas;Female;Spray corporel Axe;Produits de soin pour le corps;800;2023-06-03 02:53:00.0000000
853;Yaa Asante;Female;Rillettes de thon au piment d'Espelette;Charcuterie;1500;2023-08-18 09:45:00.0000000
